Id,Price
4567,155887.0567875829
5925,117909.6245134436
960,136320.08700883941
3848,119037.446755198
746,184224.66524612272
868,450907.8968806871
672,106435.86651228668
2471,204977.7491518306
4510,135311.5556680546
8354,263888.49009714375
6393,175435.30675308398
13270,230845.57379934515
5250,278760.5370160811
16751,170422.3242322332
11404,138799.3565071752
10588,309531.78553576494
14925,180393.5980060589
6791,216635.0677208161
16097,180631.79166670924
16428,372639.2749554804
6945,338993.6345428768
3190,189848.175809938
15709,432025.5730822201
13155,190517.7894465981
7675,201223.1671246126
14686,221002.75720358343
609,178355.81295220292
11155,145851.1669551562
10869,191552.10989835762
15742,179847.95290034564
9245,190120.36629344922
3340,157057.0105581392
2359,270757.55628582777
8070,218889.78948605756
13707,133059.54855285655
16079,289709.904937625
15937,303560.465695316
14090,178142.35399545767
9008,210497.78811935984
16384,184126.4528056864
11657,252021.3496520751
13151,159646.3423055781
8990,193654.5285956409
11857,190485.30260755186
1565,157406.1044555701
8174,129086.45029743775
9247,258600.6412960851
10478,212460.38116720115
15509,144941.63075490054
8306,179756.89352173917
6642,181661.72672382012
7472,215578.67361484308
15989,134461.9981772717
13682,126149.78724015864
163,283639.44248508965
7076,176490.1174948122
7478,312832.60349999974
3029,185400.03911396646
1814,143390.94403902575
10057,130869.33461151148
15100,192951.0344983803
12694,226822.80479094895
6291,179239.22956836704
12603,201399.84731636263
3218,250663.45596725834
13456,120939.1964264796
10170,229293.2842628328
4530,227348.01917853268
13329,163581.4738876932
4820,137077.3979317597
10896,173212.35489231732
13416,120643.11500343245
2701,208200.10743862262
11265,323767.8893479869
9189,230203.3569530547
1858,174604.55556653393
14536,238766.60652310748
6199,311134.2207181899
14730,150508.71926466015
7510,247314.784955548
15505,168613.29317282012
7446,180172.99928596857
14016,170358.82437442685
14113,104362.30255998635
8721,331954.57652546925
6193,318885.2160927359
5717,173676.18916609767
5427,303343.8972676786
9520,502446.7642683589
6869,104679.514259732
1658,149746.3359181133
6639,222257.31110285537
6283,194884.2011841116
6257,125146.20989622317
15235,188360.1900443811
902,200747.56016428972
8932,198823.5223927793
16469,293988.02563708375
2825,279950.87256332865
6450,399165.807821016
11366,180118.78988243628
3801,349132.09339961
11385,190366.99511553577
1079,191399.8181297953
3202,266785.84345446405
676,236630.00929959453
6185,291210.61473455065
7730,164522.3965764495
2573,181659.69010489908
10978,207718.2869767029
10962,268192.42604147905
8870,203146.72582316888
8496,194489.6652525113
